"","model","target_variable","target_end_date","location","value","location_name","population","geo_type","geo_value","abbreviation","full_location_name"
"1","Observed Data (JHU)","inc case",2020-10-10,"06",23121,"California",39512223,"state","ca","CA","California"
"2","Observed Data (JHU)","inc case",2020-10-17,"06",21672,"California",39512223,"state","ca","CA","California"
"3","Observed Data (JHU)","inc case",2020-10-24,"06",30178,"California",39512223,"state","ca","CA","California"
"4","Observed Data (JHU)","inc case",2020-10-31,"06",28688,"California",39512223,"state","ca","CA","California"
"5","Observed Data (JHU)","inc case",2020-11-07,"06",38210,"California",39512223,"state","ca","CA","California"
"6","Observed Data (JHU)","inc case",2020-11-14,"06",55499,"California",39512223,"state","ca","CA","California"
"7","Observed Data (JHU)","inc case",2020-11-21,"06",85088,"California",39512223,"state","ca","CA","California"
"8","Observed Data (JHU)","inc case",2020-11-28,"06",97141,"California",39512223,"state","ca","CA","California"
"9","Observed Data (JHU)","inc case",2020-12-05,"06",144000,"California",39512223,"state","ca","CA","California"
"10","Observed Data (JHU)","inc case",2020-12-12,"06",219456,"California",39512223,"state","ca","CA","California"
"11","Observed Data (JHU)","inc case",2020-12-19,"06",294162,"California",39512223,"state","ca","CA","California"
"12","Observed Data (JHU)","inc case",2020-12-26,"06",274773,"California",39512223,"state","ca","CA","California"
"13","Observed Data (JHU)","inc case",2021-01-02,"06",270592,"California",39512223,"state","ca","CA","California"
"14","Observed Data (JHU)","inc case",2021-01-09,"06",289237,"California",39512223,"state","ca","CA","California"
"15","Observed Data (JHU)","inc case",2021-01-16,"06",278666,"California",39512223,"state","ca","CA","California"
"16","Observed Data (JHU)","inc case",2021-01-23,"06",184879,"California",39512223,"state","ca","CA","California"
"17","Observed Data (JHU)","inc case",2021-01-30,"06",142921,"California",39512223,"state","ca","CA","California"
"18","Observed Data (JHU)","inc case",2021-02-06,"06",97292,"California",39512223,"state","ca","CA","California"
"19","Observed Data (JHU)","inc case",2021-02-13,"06",71987,"California",39512223,"state","ca","CA","California"
"20","Observed Data (JHU)","inc case",2021-02-20,"06",47110,"California",39512223,"state","ca","CA","California"
"21","Observed Data (JHU)","inc case",2021-02-27,"06",36756,"California",39512223,"state","ca","CA","California"
"22","Observed Data (JHU)","inc case",2021-03-06,"06",32666,"California",39512223,"state","ca","CA","California"
"23","Observed Data (JHU)","inc case",2021-03-13,"06",24130,"California",39512223,"state","ca","CA","California"
"24","Observed Data (JHU)","inc case",2021-03-20,"06",19634,"California",39512223,"state","ca","CA","California"
"25","Observed Data (JHU)","inc case",2021-03-27,"06",18190,"California",39512223,"state","ca","CA","California"
